"PILOT_00036 00036 VALPARAISO IN,Gas"
"LOT D 000000049 CHICAGO IL,Auto & Transport"
"UDIPI PALACE SCHAUMBURG IL,Food & Dining"
"IL TOLLWAY AUTO REPLEN 800-,Auto & Transport"
"KROGER #2973 FT WAYNE IN,Groceries"
"KROGER #973 FT WAYNE IN,Groceries"
"JAMISON MEATS INC - ANTH FORT WA,Groceries"
"AMAZON.COM*M22KL6282 AMZN.COM/BI,Shopping"
"MEIJER INC #124 QFORT WAYNE IN,Groceries"
"FORT WAYNE HALAL MARFORT WAYNE,Food & Dining"
"Deposit - ONLINE DEPOSIT: REF # 51461291,Income"
"Deposit - ONLINE DEPOSIT: REF # 51461273,Income"
"ATM WITHDRAWAL,Cash Expenses"
"QuickPay with Zelle payment to H,Mobile Phone"
"QuickPay with Zelle payment to S,Party & Farewell"
"DOLLAR GENERAL15525 FORT WAYNE I,Shopping"
"AEP              ONLINE PMT,Electricity"
"MARATHON PETRO255471 FORT WAYNE,Gas"
"CVS/PHARMACY #06737 FORT WAYNE I,Pharmacy"
"DOLLAR GENERAL15525 FORT WAYNE I,Shopping"
"FORT WAYNE HALAL MARKET FORT WAY,Groceries"
"Deposit - ONLINE DEPOSIT: REF # 51500333,Income"
"Deposit - CAPGEMINI AMERICDIRECT DEP190115,Paycheck"
"REDEMPTION PAYOUT,Transfer"
"INTEREST,Interest Income"
"LANSI            IAT PAYPAL 1004,Books & Supplies"
"CAPGEMINI AMERIC DIRECT DEP,Paycheck"
"FID BKG SVC LLC  MONEYLINE,Transfer"
"CTS*FRONTIER ONLINEPAY 800-,Internet"
"REDEMPTION PAYOUT,Transfer"
"INTEREST,Interest Income"
"SAINT JOSEPH UNITED METH 260-485,Day Care"
"SPICE AND HERB THAI - FORT WAYNE,Restaurants"
"ALDI 44057 FORT WAYNE IN,Groceries"
"MEIJER # 124 FORT WAYNE IN,Groceries"
"FORT WAYNE HALAL MARKET FORT WAY,Groceries"
"AUNTIE ANNE'S IN116 FT WAYNE IN,Fast Food"
"Withdrawal - HONDA PMT       8005426632B19021,Auto Payment"
"BP#8674558RICKERS #55 FORT WAYNE,Gas"
"REDEMPTION PAYOUT,Transfer"
"INTEREST,Interest Income"
"FORT WAYNE HALAL MARKET FORT WAY,Groceries"
"CASA GRILLE ITALIANOFORT WAYNE,Restaurants"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"MEIJER # 124 FORT WAYNE IN,Groceries"
"SAMS CLUB - #6313 FORT WAYNE IN,Groceries"
"REDEMPTION PAYOUT,Transfer"
"INTEREST,Interest Income"
"BP#8674558RICKERS #55 FORT WAYNE,Gas"
"Withdrawal - Canterbury GreenWEB PMTS  012919,Mortgage & Rent"
